,id,uri,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
104,47TQjzeG4KI0XWWb0wkbri,spotify:track:47TQjzeG4KI0XWWb0wkbri,Australia,The Shins,0.00428,0.416,0.827,0.000242,0.277,-5.177,0.0384,169.902,4,1
105,4dyx5SzxPPaD8xQIid5Wjj,spotify:track:4dyx5SzxPPaD8xQIid5Wjj,Young Folks,Peter Bjorn and John,0.0164,0.699,0.812,0.000763,0.105,-6.005,0.0377,138.185,4,1
106,1fXiYSWmkKJfRKMegCkI11,spotify:track:1fXiYSWmkKJfRKMegCkI11,I Will Wait,Mumford & Sons,0.00974,0.478,0.758,0.00717,0.312,-5.4,0.0331,131.109,4,1
107,0hrM7JpE7n6mz5vMB7on2f,spotify:track:0hrM7JpE7n6mz5vMB7on2f,First Aid,Gus Dapperton,0.0148,0.596,0.48,0.0013,0.086,-4.39,0.0265,70.004,4,1
108,0LIekCgqw0a3Ule7WtPfBJ,spotify:track:0LIekCgqw0a3Ule7WtPfBJ,Avalanche,The Reytons,0.000171,0.519,0.916,0.0,0.402,-5.232,0.116,145.002,4,1
109,4PwWESSlTwzvw9B7bmtTLS,spotify:track:4PwWESSlTwzvw9B7bmtTLS,anything,Adrianne Lenker,0.774,0.388,0.291,1.93e-05,0.0874,-12.952,0.0421,83.943,4,1
110,39Cv9mq0PPrsJ5jtVb2Hiu,spotify:track:39Cv9mq0PPrsJ5jtVb2Hiu,Thunder Clatter,Wild Cub,0.301,0.6,0.968,1.88e-06,0.19,-2.444,0.0329,123.019,4,1
111,4IA82QQCoPtGN9xDHflcZA,spotify:track:4IA82QQCoPtGN9xDHflcZA,This Life,Vampire Weekend,0.229,0.62,0.712,3.42e-06,0.056,-6.434,0.1,170.234,4,1
112,57i3M29DWoo7RDk0Tf0LZG,spotify:track:57i3M29DWoo7RDk0Tf0LZG,Daylight,Matt and Kim,0.102,0.57,0.798,0.000128,0.178,-4.92,0.0323,103.303,4,1
113,2QSrwZ7iVknZgkfi4aD6cn,spotify:track:2QSrwZ7iVknZgkfi4aD6cn,Saltwater,Geowulf,0.0006,0.552,0.828,0.363,0.115,-5.811,0.0305,107.031,4,1
114,5JWPUEov2wlX7c0jhYZpeB,spotify:track:5JWPUEov2wlX7c0jhYZpeB,Lost In Yesterday,Tame Impala,0.0295,0.569,0.84,0.000118,0.0995,-4.123,0.118,183.059,3,1
115,74uoN2UfgdUAzwVeFaRUE2,spotify:track:74uoN2UfgdUAzwVeFaRUE2,Me & My Dog,boygenius,0.58,0.487,0.509,0.00878,0.115,-9.051,0.0241,94.017,4,1
116,1YwjbuXJi7nTwnw4wI4wbU,spotify:track:1YwjbuXJi7nTwnw4wI4wbU,Sucker,Madeline Kenney,0.11,0.508,0.674,0.00936,0.129,-9.541,0.0281,173.954,4,1
117,3n69hLUdIsSa1WlRmjMZlW,spotify:track:3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,alt-J,0.096,0.615,0.658,0.000911,0.205,-7.299,0.0343,150.093,4,1
118,1Ug5wxoHthwxctyWTUMGta,spotify:track:1Ug5wxoHthwxctyWTUMGta,1901,Phoenix,0.0601,0.59,0.829,3.99e-05,0.19,-5.649,0.0419,144.099,4,1
119,480rD34KfGbMaT0L6zjeIu,spotify:track:480rD34KfGbMaT0L6zjeIu,Pressure To Party,Julia Jacklin,0.000127,0.479,0.81,3.91e-05,0.112,-3.949,0.0382,141.931,4,1
120,2drtd6SptpMJ1KylMQ7mrE,spotify:track:2drtd6SptpMJ1KylMQ7mrE,circle the drain,Soccer Mommy,0.303,0.482,0.79,0.00028,0.1,-5.221,0.038,169.064,4,1
121,3p1UgnbP4UE6UsQwB2GvYO,spotify:track:3p1UgnbP4UE6UsQwB2GvYO,Cameos,Swimming Tapes,0.00791,0.561,0.687,0.0225,0.08,-6.336,0.0292,128.569,4,1
122,5RoIXwyTCdyUjpMMkk4uPd,spotify:track:5RoIXwyTCdyUjpMMkk4uPd,Sweet Disposition,The Temper Trap,0.0701,0.531,0.821,0.171,0.124,-6.812,0.0439,129.139,4,1
123,05uhED0miR9OJYPalPi7tx,spotify:track:05uhED0miR9OJYPalPi7tx,Wild,Spoon,0.0394,0.647,0.701,0.000142,0.0765,-8.043,0.0375,97.003,4,1
124,6OvnqaJyDSMrOMmJg3H9wJ,spotify:track:6OvnqaJyDSMrOMmJg3H9wJ,Ya Ya Ya,You Won't,0.412,0.629,0.541,1.25e-06,0.0933,-5.461,0.0323,113.471,4,1
